 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        181847        7466672  [B (java.base@16.0.2)
   2:        110452        7035048  [Ljava.lang.Object; (java.base@16.0.2)
   3:         20605        5600744  [J (java.base@16.0.2)
   4:         22616        4990520  [I (java.base@16.0.2)
   5:         20563        1974048  org.mariadb.jdbc.internal.com.read.resultset.SelectResultSet
   6:         20564        1809632  org.mariadb.jdbc.MariaDbStatement
   7:         20568        1645376  [S (java.base@16.0.2)
   8:         41126        1645040  org.mariadb.jdbc.internal.com.read.resultset.ColumnDefinition
   9:         20564        1480608  org.mariadb.jdbc.internal.com.read.dao.Results
  10:         57273        1374552  java.lang.String (java.base@16.0.2)
  11:         20564        1153096  [[B (java.base@16.0.2)
  12:         47392        1137408  java.util.ArrayList (java.base@16.0.2)
  13:         41126         987024  org.mariadb.jdbc.internal.com.read.Buffer
  14:         20563         822520  IgnoredException
  15:         20563         822520  org.mariadb.jdbc.internal.com.read.dao.CmdInformationMultiple
  16:         20563         822520  org.mariadb.jdbc.internal.com.read.resultset.rowprotocol.TextRowProtocol
  17:          4361         520568  java.lang.Class (java.base@16.0.2)
  18:         20663         495912  java.util.ArrayDeque (java.base@16.0.2)
  19:         20563         493512  [Lorg.mariadb.jdbc.internal.com.read.resultset.ColumnDefinition;
  20:         20563         493512  org.mariadb.jdbc.internal.com.read.dao.ColumnLabelIndexer
  21:         14296         457472  java.util.concurrent.ConcurrentHashMap$Node (java.base@16.0.2)
  22:         10126         324032  java.util.HashMap$Node (java.base@16.0.2)
  23:          3478         293848  [Ljava.util.HashMap$Node; (java.base@16.0.2)
  24:          3057         269016  java.lang.reflect.Method (java.base@16.0.2)
  25:          5090         203600  java.util.LinkedHashMap$Entry (java.base@16.0.2)
  26:           327         147472  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@16.0.2)
  27:          7679         122864  java.lang.Object (java.base@16.0.2)
  28:           742         122608  [C (java.base@16.0.2)
  29:          2442         117216  java.util.HashMap (java.base@16.0.2)
